employee_id,persona,satisfaction_score,productivity_baseline,resistance_propensity,training_times_yr,digital_dexterity,collab_density,app_activation_rt,enps_score,email_vol_daily,meetings_per_week,teams_msg_daily,tickets_per_month,ticket_category,resolution_hrs,reopened_rate,support_dependency,frustration_level,app_crash_rate,avg_load_time_sec,session_duration_min,friction_level,dex_feedback,pulse_sat,logins_per_day,failed_logins_wk,lms_completion,assessment_score,time_to_complete_hr,churn_risk_flag,is_amplifier,gmm_cluster,PU_INITIAL,PEOU_INITIAL,resistance_weight,social_weight,threshold_awareness_to_interest,threshold_interest_to_trial,threshold_trial_to_adoption,is_amplifier_network
32e683af-0e72-432e-a800-aadeaf1ae735,Tech Pioneer,7.915,0.858,0.118,5,8.355,0.584,0.904,74.2,63.94,9.09,35.93,0,Access / Permissions,2.45,0.251,0.0,0.132,0.006,1.45,56.1,0.082,7.67,4.09,8,1,0.872,73.7,2.69,0,0,1,8.425080953782748,8.841759065571988,0.102136,0.09197527229908747,0.4527660000000002,0.7546100000000004,1.358298000000001,False
967fa8e0-63b5-42a7-b020-62ec62b2e568,Tech Pioneer,8.665,0.842,0.119,5,8.536,0.63,0.913,77.3,68.31,11.25,39.18,0,Software Install,0.21,0.043,0.0,0.021,0.015,2.98,64.0,0.045,8.07,3.99,6,1,0.839,91.3,3.73,0,0,1,8.249926405652046,9.157587995598709,0.102136,0.1102546364439211,0.4527660000000002,0.7546100000000004,1.358298000000001,False
00c144ee-0070-4945-b069-24f2eae3a49c,Tech Pioneer,8.333,0.808,0.149,5,8.48,0.615,0.874,69.0,54.57,14.25,47.22,1,Access / Permissions,5.4,0.242,0.1,0.15,0.054,2.27,38.8,0.114,7.12,3.67,11,0,0.985,88.7,3.96,0,0,1,8.257285840447452,9.011160417397193,0.102136,0.10717692081248174,0.4527660000000002,0.7546100000000004,1.358298000000001,False
b29dad43-a4db-4cce-bfdf-a6e155645881,Tech Pioneer,7.71,0.818,0.12,5,8.631,0.672,0.909,73.7,72.94,11.65,30.95,1,Software Install,6.28,0.097,0.1,0.091,0.078,1.38,72.9,0.083,7.91,4.0,7,0,0.894,95.0,3.18,0,0,1,8.217544892552253,9.274754241079526,0.102136,0.1197809832204886,0.4527660000000002,0.7546100000000004,1.358298000000001,False
06cb4870-3195-455b-bb54-28d46e713cd1,Tech Pioneer,8.316,0.861,0.118,4,7.975,0.589,0.881,71.5,58.83,10.5,45.98,1,Password Reset,0.16,0.156,0.1,0.072,0.055,1.88,57.6,0.071,7.72,3.7,10,0,0.897,90.7,4.43,0,0,1,8.419193405946423,8.253751375403551,0.102136,0.09310950838975565,0.4527660000000002,0.7546100000000004,1.358298000000001,False
4205bfc3-db8e-4b45-9a2a-c9e84a69eea3,Tech Pioneer,7.591,0.864,0.213,6,8.57,0.664,0.932,64.1,60.83,10.42,47.22,2,Software Install,0.93,0.18,0.2,0.088,0.048,1.62,58.2,0.075,6.95,3.93,9,0,0.976,85.0,2.07,0,0,1,8.899028554607007,9.185640182339213,0.102136,0.07310450397409475,0.4527660000000002,0.7546100000000004,1.358298000000001,False
9300dac6-3acc-42fc-aca0-f3baa82b7530,Tech Pioneer,9.184,0.88,0.129,5,8.433,0.613,0.833,71.0,55.02,7.87,37.17,0,Access / Permissions,4.12,0.106,0.0,0.079,0.022,2.09,50.2,0.067,7.63,3.91,6,1,0.938,77.4,2.93,0,0,1,8.467765675596112,8.977062500755714,0.102136,0.09392596408595828,0.4527660000000002,0.7546100000000004,1.358298000000001,False
a45a6208-7e07-4d94-b285-2ee2964e18b7,Tech Pioneer,8.532,0.869,0.137,6,8.753,0.651,0.937,79.8,41.61,12.77,23.15,0,Access / Permissions,3.51,0.144,0.0,0.091,0.059,2.07,61.5,0.084,7.81,4.27,5,0,0.933,84.5,2.45,0,0,1,8.831321754489256,9.465678391352188,0.102136,0.07608095378274941,0.4527660000000002,0.7546100000000004,1.358298000000001,False
d5ec4a29-5f91-47eb-8c4c-40c5a436950c,Tech Pioneer,8.833,0.887,0.145,5,8.337,0.628,0.918,69.4,68.07,10.84,33.75,1,Access / Permissions,0.54,0.153,0.1,0.073,0.079,2.34,55.6,0.084,7.38,3.91,5,0,1.0,80.0,1.42,0,0,1,9.077126876655873,8.811772245263171,0.102136,0.05795643214601116,0.4527660000000002,0.7546100000000004,1.358298000000001,False
639c1aaa-89cd-43bb-850a-16420229393c,Tech Pioneer,8.66,0.912,0.088,5,8.552,0.701,0.968,78.8,66.89,10.64,47.08,1,VPN / Network,0.55,0.189,0.1,0.089,0.082,1.37,69.5,0.083,8.59,4.04,10,0,0.878,81.9,3.03,0,0,1,9.122755372387399,9.150574948913581,0.102136,0.061494848395643335,0.4527660000000002,0.7546100000000004,1.358298000000001,False
251c5614-d0e2-4571-b0d4-2d74133e2e4f,Tech Pioneer,8.362,0.94,0.093,5,8.732,0.671,0.942,81.8,58.75,17.39,37.84,0,Access / Permissions,1.1,0.002,0.0,0.01,0.024,1.85,37.7,0.031,8.56,4.49,1,0,0.956,90.1,2.99,0,0,1,9.443626729467177,9.47752802195809,0.102136,0.037332646452752485,0.4527660000000002,0.7546100000000004,1.358298000000001,False
7b617a09-6bf6-4d59-bd66-6610b4bcf7c4,Tech Pioneer,9.072,0.918,0.106,6,7.98,0.63,0.912,74.4,61.54,11.6,31.0,0,Software Install,1.6,0.056,0.0,0.037,0.09,0.93,57.1,0.055,7.29,4.0,7,3,0.913,97.7,4.46,0,0,1,9.022667059169855,8.275153259252988,0.102136,0.06157197527229911,0.4527660000000002,0.7546100000000004,1.358298000000001,False
fbb0330f-6a5d-4d89-9529-bd41c1faecf5,Tech Pioneer,8.489,0.869,0.09,4,8.593,0.646,0.867,71.9,65.13,9.5,34.47,0,Software Install,2.26,0.317,0.0,0.16,0.173,1.17,59.9,0.144,7.45,4.07,6,0,0.923,88.8,3.67,0,0,1,8.4927877539005,9.16339189630364,0.102136,0.09736591109802775,0.4527660000000002,0.7546100000000004,1.358298000000001,False
1a0475f5-bdc3-41ab-a5c0-8728650a927c,Tech Pioneer,8.327,0.825,0.08,5,8.561,0.598,0.873,74.3,48.5,10.15,43.88,0,Access / Permissions,1.07,0.006,0.0,0.011,0.099,2.24,52.8,0.058,7.83,3.93,5,0,0.986,77.6,2.18,1,0,1,8.380924345010301,9.185882011535254,0.102136,0.096820724168384,0.4527660000000002,0.7546100000000004,1.358298000000001,False
815c9c21-feab-4794-9f6e-5786b15293ab,Tech Pioneer,8.45,0.867,0.131,6,8.785,0.625,0.906,69.8,56.77,13.3,41.83,0,Password Reset,1.55,0.087,0.0,0.051,0.06,1.32,50.1,0.057,6.98,4.06,6,0,0.935,89.1,4.77,0,0,1,8.685604945540184,9.538831723153937,0.102136,0.0821496909037385,0.4527660000000002,0.7546100000000004,1.358298000000001,False
6cc47b7e-d83f-4649-8b9d-78e3c6cb69e9,Tech Pioneer,7.811,0.835,0.124,5,8.363,0.591,0.844,68.5,67.35,11.23,36.33,0,Password Reset,3.43,0.075,0.0,0.06,0.011,1.38,50.6,0.047,6.62,3.82,10,1,0.937,94.4,4.2,0,0,1,8.182219605534295,8.883958260280764,0.102136,0.1074308213129232,0.4527660000000002,0.7546100000000004,1.358298000000001,False
2b7e52bd-3298-4f5a-85f0-bc1ccbf50c44,Tech Pioneer,7.638,0.843,0.206,3,7.801,0.603,0.861,67.0,50.97,8.12,35.43,1,Software Install,0.11,0.137,0.1,0.062,0.011,1.8,57.1,0.052,6.9,4.12,8,0,0.964,81.7,3.62,0,0,1,8.395643214601117,7.99632419622021,0.102136,0.09674271415955263,0.4527660000000002,0.7546100000000004,1.358298000000001,False
e8ed8c4d-c72c-4967-8494-85464c10f435,Tech Pioneer,9.099,0.934,0.01,5,8.873,0.661,1.0,79.7,63.35,12.84,35.26,0,Password Reset,0.59,0.194,0.0,0.092,0.056,2.15,33.3,0.084,7.88,4.11,7,0,0.892,85.1,2.9,0,0,1,9.46717692081248,9.654305164262482,0.102136,0.035219605534295,0.4527660000000002,0.7546100000000004,1.358298000000001,False
913ec511-2ecd-43be-ab71-164eb62dceb8,Tech Pioneer,8.578,0.836,0.163,5,8.331,0.604,0.892,76.8,50.15,9.66,31.54,1,Software Install,3.37,0.107,0.1,0.074,0.093,1.27,66.6,0.078,7.9,4.11,4,0,0.868,86.1,2.24,0,0,1,8.198410362084191,8.80741931973447,0.102136,0.10881601413011487,0.4527660000000002,0.7546100000000004,1.358298000000001,False
8ec9d68d-b064-448b-a78c-853ea27765b3,Tech Pioneer,7.608,0.823,0.143,5,8.891,0.642,0.832,71.6,64.73,14.75,49.31,3,Hardware,5.72,0.227,0.3,0.146,0.02,0.5,49.2,0.084,6.8,3.66,8,1,0.858,80.5,2.77,0,0,1,7.808360317927583,9.682599180199027,0.102136,0.1407032675890492,0.4527660000000002,0.7546100000000004,1.358298000000001,False
d50aac01-f9f9-4e3b-b567-6ac172b6be69,Tech Pioneer,8.67,0.849,0.101,5,8.902,0.63,0.897,79.9,60.71,13.16,35.74,1,VPN / Network,1.7,0.075,0.1,0.047,0.003,1.36,56.5,0.038,8.42,4.09,7,0,0.812,90.5,4.08,0,0,1,8.15130997939358,9.738824468278054,0.102136,0.11646747129820442,0.4527660000000002,0.7546100000000004,1.358298000000001,False
44d24ed6-415f-4b4d-a829-9da8fd75fa09,Tech Pioneer,8.192,0.881,0.186,4,8.158,0.668,0.9,54.3,48.08,10.11,46.52,0,Access / Permissions,2.11,0.005,0.0,0.019,0.004,2.4,59.4,0.034,5.64,3.3,4,0,1.0,85.2,4.8,0,0,4,8.953488372093023,8.572724084978779,0.102136,0.06990697674418603,0.4527660000000002,0.7546100000000004,1.358298000000001,False
2c68a91f-3955-4c3f-8629-985472bbb50d,Tech Pioneer,7.789,0.754,0.167,5,8.625,0.686,0.84,59.3,70.32,13.56,48.65,1,Access / Permissions,0.3,0.182,0.1,0.084,0.022,1.97,48.7,0.068,6.74,3.6,5,0,0.855,88.9,4.49,1,0,4,7.3270532823079195,9.27801893522605,0.102136,0.18336414483367675,0.4527660000000002,0.7546100000000004,1.358298000000001,False
c41b0245-21d4-475e-accc-4793212e12ea,Tech Pioneer,8.013,0.884,0.123,6,8.426,0.597,0.978,74.5,55.12,11.14,44.99,0,VPN / Network,1.47,0.082,0.0,0.048,0.037,2.46,53.4,0.06,7.6,4.57,7,2,0.899,79.8,2.66,0,0,1,9.022667059169855,8.971984087638901,0.102136,0.05834677656755963,0.4527660000000002,0.7546100000000004,1.358298000000001,False
b3b44e0f-3106-49d5-b5ec-028f77a8a4d0,Tech Pioneer,8.388,0.863,0.133,5,8.48,0.614,0.886,60.3,54.52,12.71,34.98,0,Software Install,1.94,0.033,0.0,0.03,0.016,1.23,30.6,0.032,6.42,3.39,8,1,0.896,82.9,2.09,0,0,1,8.453046806005299,9.08056539666034,0.102136,0.09498292611127465,0.4527660000000002,0.7546100000000004,1.358298000000001,False
f4373e30-c302-41fd-8c7b-148af1e9fdfb,Tech Pioneer,7.674,0.867,0.039,5,8.148,0.656,0.983,70.9,62.6,11.97,40.83,0,VPN / Network,0.6,0.282,0.0,0.132,0.013,0.98,63.8,0.079,7.31,3.65,6,1,0.925,91.1,3.23,0,0,1,8.996173093906387,8.518917088860135,0.102136,0.06585104503974097,0.4527660000000002,0.7546100000000004,1.358298000000001,False
897ef047-2476-4b24-9e0b-daf5192e414e,Tech Pioneer,8.517,0.879,0.165,5,8.724,0.615,0.908,69.2,70.19,9.31,37.83,0,Hardware,0.83,0.034,0.0,0.022,0.081,2.03,68.0,0.056,6.95,3.92,8,0,0.951,83.4,1.51,0,0,1,8.829849867530173,9.443792849110674,0.102136,0.07196423314689437,0.4527660000000002,0.7546100000000004,1.358298000000001,False
c835f661-9a98-4838-8f33-6ebb4dc8f808,Tech Pioneer,7.696,0.851,0.143,5,8.201,0.568,0.851,63.0,52.87,9.71,31.67,0,Software Install,1.22,0.074,0.0,0.043,0.237,1.92,34.6,0.112,7.66,3.3,8,1,0.953,98.1,3.39,0,0,1,8.37798057109214,8.574295974753031,0.102136,0.09213070356196647,0.4527660000000002,0.7546100000000004,1.358298000000001,False
49f0dc04-752d-43fc-9657-aa76ff18a6cf,Tech Pioneer,7.932,0.879,0.103,5,8.42,0.652,0.917,72.2,61.49,13.06,40.27,0,Hardware,0.05,0.085,0.0,0.039,0.077,1.95,50.1,0.062,7.3,4.0,5,1,0.881,83.2,2.97,0,0,1,8.66352664115396,8.960859944621113,0.102136,0.08713806299676187,0.4527660000000002,0.7546100000000004,1.358298000000001,False
60a3efb0-467b-4a74-91f4-88fa56c35e85,Tech Pioneer,7.459,0.854,0.145,5,8.348,0.61,0.914,63.8,64.43,10.33,29.75,0,VPN / Network,1.02,0.053,0.0,0.031,0.104,2.27,40.2,0.07,7.15,3.45,5,0,0.902,87.6,2.68,0,0,1,8.528113040918457,8.840912663385852,0.102136,0.08978510450397413,0.4527660000000002,0.7546100000000004,1.358298000000001,False
ec1e6738-a978-45ff-b584-f69749b76963,Tech Pioneer,8.772,0.894,0.088,4,8.939,0.595,0.842,71.0,66.54,10.19,46.31,0,Hardware,0.56,0.021,0.0,0.014,0.047,2.01,52.9,0.041,6.95,3.88,9,0,0.924,92.5,1.66,0,0,1,8.56932587577274,9.794445183366987,0.102136,0.08512511039152192,0.4527660000000002,0.7546100000000004,1.358298000000001,False
4c57c76e-89b2-48bc-bf01-583541b29e73,Tech Pioneer,8.143,0.861,0.132,5,7.963,0.583,0.915,65.8,62.41,9.09,34.75,0,VPN / Network,1.02,0.119,0.0,0.061,0.008,2.0,62.8,0.053,7.07,3.85,8,1,0.898,76.1,3.56,0,0,1,8.572269649690904,8.25012393746297,0.102136,0.08323667942302027,0.4527660000000002,0.7546100000000004,1.358298000000001,False
3b5e37c7-68f5-4012-9cac-5211fe08e018,Tech Pioneer,8.734,0.876,0.116,6,8.83,0.62,0.929,80.3,58.06,11.85,39.41,1,Software Install,0.31,0.051,0.1,0.025,0.016,2.16,66.8,0.039,8.41,4.19,9,0,0.99,73.7,2.62,0,0,1,9.015307624374449,9.624802002345744,0.102136,0.06105092728878416,0.4527660000000002,0.7546100000000004,1.358298000000001,False
be14a5e9-8f08-4b9d-98cb-f8941440d922,Tech Pioneer,9.322,0.891,0.102,5,8.65,0.629,0.885,76.7,54.38,15.13,39.98,0,Training Request,5.37,0.223,0.0,0.141,0.001,2.05,68.5,0.092,7.89,4.25,6,0,0.935,75.3,2.05,0,0,1,8.769502502207832,9.297002527115101,0.102136,0.07739829261112736,0.4527660000000002,0.7546100000000004,1.358298000000001,False
0bb823ef-31f1-4097-ac27-cbc9ab34ccc5,Tech Pioneer,8.114,0.847,0.147,5,8.563,0.595,0.92,63.4,61.69,8.86,36.19,1,Access / Permissions,2.36,0.41,0.1,0.203,0.052,2.23,70.7,0.139,6.48,3.71,1,0,0.947,94.8,0.51,1,0,1,8.63556078893141,9.120467214006748,0.102136,0.08118413305858103,0.4527660000000002,0.7546100000000004,1.358298000000001,False
3865defa-7cf1-4604-95f0-37d71ce9c431,Tech Pioneer,8.156,0.865,0.138,4,8.257,0.615,0.902,66.8,52.42,11.05,42.11,1,Software Install,2.95,0.118,0.1,0.076,0.109,2.3,52.3,0.094,6.91,3.3,8,0,0.943,82.1,3.08,0,0,1,8.676773623785694,8.677557041461615,0.102136,0.08137842213717981,0.4527660000000002,0.7546100000000004,1.358298000000001,False
d1ee605d-7f68-4368-9b5a-b7e1ea55573e,Tech Pioneer,8.522,0.987,0.125,5,8.582,0.615,0.981,71.0,37.63,13.82,34.68,0,Access / Permissions,3.85,0.106,0.0,0.077,0.033,2.57,41.2,0.074,7.23,3.66,5,1,0.969,100.0,4.7,0,0,1,10.0,9.20534926181638,0.102136,0.0,0.4527660000000002,0.7546100000000004,1.358298000000001,False
9a0eaf52-8e20-41ab-941c-a43cbd430053,Tech Pioneer,7.107,0.741,0.158,5,8.018,0.636,0.874,63.3,64.49,10.84,44.1,0,App Crash,1.84,0.05,0.0,0.037,0.009,1.48,53.6,0.036,7.66,3.22,4,1,0.919,82.1,4.6,0,0,4,7.569914630556372,8.350966712211166,0.102136,0.1545534294966147,0.4527660000000002,0.7546100000000004,1.358298000000001,False
92564ec9-15be-42ea-bd87-da78e7d30d89,Tech Pioneer,8.706,0.91,0.051,5,9.108,0.674,0.921,79.6,68.23,11.9,28.58,0,Access / Permissions,0.2,0.36,0.0,0.163,0.032,2.04,62.6,0.112,8.15,4.58,5,0,0.845,87.3,2.69,0,0,1,8.803355902266707,10.0,0.102136,0.08065381218722392,0.4527660000000002,0.7546100000000004,1.358298000000001,False
4f2f53a0-f135-4b09-9d42-6a3f9d5d03ad,Tech Pioneer,8.418,0.849,0.18,5,8.242,0.583,0.859,85.3,42.1,8.88,38.88,0,Access / Permissions,2.12,0.023,0.0,0.027,0.011,1.61,40.3,0.033,8.89,4.39,5,1,0.93,96.8,2.56,0,0,1,8.33088018840153,8.705609228202123,0.102136,0.09730968501619083,0.4527660000000002,0.7546100000000004,1.358298000000001,False
d190740e-54a5-4b8b-ba14-2647e7f57f2e,Power User,5.911,0.747,0.321,3,7.609,0.661,0.829,38.7,73.09,17.53,51.43,1,Access / Permissions,5.08,0.149,0.1,0.106,0.125,2.85,72.8,0.119,4.49,2.83,8,0,0.731,69.7,4.7,0,0,4,6.861937003238151,7.637812413092632,0.191777,0.20742596408595823,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
918e2fc2-645c-443b-9ec3-c4e353b6910c,Power User,7.341,0.775,0.13,4,7.956,0.684,0.9,57.4,76.68,14.65,41.2,0,Hardware,0.14,0.134,0.0,0.062,0.089,2.61,67.0,0.083,5.24,3.39,2,0,0.683,82.8,3.79,0,0,4,7.240211951722108,8.213728643459126,0.191777,0.18876950250220786,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
307b12c1-cd16-47a5-bed0-38561bc27366,Power User,8.017,0.945,0.192,5,8.505,0.72,0.914,80.2,64.04,15.71,51.36,2,Software Install,1.9,0.201,0.2,0.105,0.001,2.41,79.7,0.077,8.53,4.11,6,0,0.84,90.8,3.42,0,0,1,9.015307624374447,9.081774542640535,0.191777,0.07089785104503983,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
526072d2-aa96-43cf-a29f-4afc0289e0f4,Power User,8.173,0.832,0.342,4,7.793,0.704,0.8,51.8,84.05,13.87,55.06,2,App Crash,2.1,0.062,0.2,0.044,0.13,1.82,52.7,0.079,5.65,2.98,8,1,0.9,100.0,3.14,0,0,4,7.8569325875772735,7.960896219000519,0.191777,0.15087194583455996,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
19107ad8-f7c2-49b2-a67e-d210d248632c,Power User,6.71,0.735,0.231,4,8.113,0.688,0.872,54.0,55.2,11.29,55.79,0,Software Install,1.25,0.355,0.0,0.169,0.131,2.55,51.7,0.149,6.34,3.21,3,0,0.746,87.2,1.64,0,0,4,7.007653812187224,8.404652793731785,0.191777,0.20587341772151901,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
5d440557-6e17-4529-a14f-71dac235ab85,Power User,8.177,0.807,0.154,5,8.233,0.653,0.884,60.4,60.61,14.63,30.41,0,VPN / Network,1.36,0.012,0.0,0.016,0.054,1.26,77.3,0.037,6.0,3.16,5,0,0.893,96.2,1.89,0,0,4,8.02325581395349,8.688076611489306,0.191777,0.12908139534883709,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
cc10d299-3498-4ed7-a4b8-b49c41c54c7f,Power User,8.927,0.875,0.063,5,8.273,0.731,0.946,76.0,83.92,12.79,38.72,0,VPN / Network,1.7,0.037,0.0,0.03,0.008,2.73,68.0,0.045,6.57,4.01,11,0,0.867,71.1,5.89,0,0,1,8.720930232558139,8.744180984970315,0.191777,0.0935,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
bce00a08-f6f2-4adb-a0bc-f015ca5ad894,Power User,7.79,0.827,0.287,4,7.564,0.69,0.773,52.6,76.9,13.94,49.84,0,Password Reset,0.59,0.189,0.0,0.09,0.007,1.38,40.4,0.061,5.85,3.32,3,1,0.923,100.0,5.53,0,0,4,7.76861937003238,7.616168700047155,0.191777,0.15396526346776576,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
72a3815f-3f8e-47af-bac6-e207cc50e348,Power User,8.605,0.783,0.256,5,7.907,0.666,0.871,60.6,96.4,10.63,49.98,2,Software Install,2.7,0.177,0.2,0.1,0.135,2.27,54.4,0.113,6.57,2.99,7,0,0.792,65.2,3.17,0,0,4,7.491904621725052,8.111313978936677,0.191777,0.16703915219311155,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
8b2be77b-b5ab-42eb-94ce-0be3033d0f69,Power User,7.346,0.799,0.233,4,8.105,0.736,0.888,50.1,71.68,14.17,65.24,0,Training Request,4.87,0.317,0.0,0.18,0.084,1.59,67.4,0.131,4.84,3.31,5,1,0.91,77.5,4.8,0,0,4,8.032087135707977,8.407312914888216,0.191777,0.1448383868118929,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
0061cfa3-d33e-4cbc-b20d-24029a186146,Power User,8.651,0.836,0.18,5,8.031,0.722,0.874,67.9,88.0,12.7,36.83,0,Training Request,3.96,0.103,0.0,0.076,0.002,2.43,73.7,0.063,6.72,3.94,3,1,0.851,87.0,4.36,0,0,4,8.068884309685014,8.348548420250776,0.191777,0.13942655284074199,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
08931cc4-505a-4f72-a4fa-408effb19568,Power User,7.023,0.845,0.236,5,8.26,0.685,0.845,55.1,52.43,13.58,55.51,2,VPN / Network,0.5,0.172,0.2,0.081,0.036,2.08,52.5,0.072,7.06,3.11,2,0,0.964,67.6,4.49,1,0,4,8.339711510156018,8.700893558879363,0.191777,0.11372976155431276,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
c7279da6-2b3e-4285-83c5-a0c9787162f1,Power User,7.537,0.804,0.224,5,8.036,0.679,0.879,56.8,56.86,12.79,48.35,3,Password Reset,0.49,0.32,0.3,0.148,0.008,1.14,21.2,0.088,5.99,3.38,10,1,1.0,73.7,2.23,0,0,4,8.29408301442449,8.335247814468639,0.191777,0.11583176332057711,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
769de4c0-10c6-4029-8ced-f151832eb2a2,Power User,8.767,0.864,0.204,5,8.826,0.715,0.854,80.7,79.96,12.31,30.24,0,Software Install,0.88,0.012,0.0,0.012,0.049,2.35,69.3,0.044,8.55,4.23,7,0,0.948,72.2,1.81,0,0,1,8.472181336473357,9.614282432318056,0.191777,0.10923903444215499,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
0125a3cf-f9f7-449b-87d5-f9405da15ac7,Power User,6.799,0.837,0.248,5,7.908,0.706,0.87,55.3,53.6,14.21,40.07,0,VPN / Network,1.4,0.048,0.0,0.032,0.09,1.75,44.9,0.061,5.72,3.46,2,0,0.874,79.2,5.1,0,0,4,8.126287901089196,8.156898782389998,0.191777,0.1322840741831028,0.6000920000000001,1.0001533333333334,1.8002760000000002,False
